Index,Label,English,French,German,Spanish,Italian,Dutch,Portuguese,Russian,Turkish,TR_Notes,Ref_MaxLines,Ref_MaxLinePx,Ref_MaxUtf16Bytes
2305,result_piece_number_u,[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],,1,0,10
2306,choices_legend2_result_comeback_u,,,,,,,,,,,1,0,2
2307,choices_legend2_result_title_u,,,,,,,,,,,1,0,2
2308,msg_legend2_result_comeback_u,,,,,,,,,,,1,0,2
2309,msg_legend2_result_info_comeback_u,,,,,,,,,,,1,0,2
2310,msg_legend2_result_info_title_u,,,,,,,,,,,1,0,2
2311,legend_xx_u,,,,,,,,,,,1,0,2
2312,legend_hero_roll_u,Legendary Heroes,Héros légendaires,Legendäre Helden,Héroes legendarios,Eroi leggendari,Legendarische helden,Heróis Lendários,Легендарные герои,Efsanevi Kahramanlar,,1,501,42
2313,legend_total_hero_u,Total Heroes,Nombre total de héros,Helden insgesamt,Héroes en total,Totale eroi,Totale aantal helden,Total de Heróis,Всего героев:,Toplam Kahraman,,1,509,44
2314,legend_total_hero_01_u,[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],,1,0,10
2315,legend_end_u,THE END,FIN,ENDE,FIN,FINE,EINDE,FIM,КОНЕЦ,SON,,1,209,16
2316,legend_hero_result_darkroom_u,"Brought light to
the dark room",Lumière rétablie,"Der finstere Raum ist
wieder strahlend hell.","Llevó la luz a la sala
tenebrosa.","Ha illuminato
la sala buia.",De duisternis verdreven.,Iluminou a câmara escura.,"Темное помещение
освещено.","Karanlık odayı
aydınlattı",,2,601,90
2317,legend_hero_result01_y_n_u,"Defeated
Ghost",Fantôme vaincu,Der Geist wurde besiegt.,"Fantasma
derrotado","Ha sconfitto
il fantasma.",Spook verslagen.,Derrotou o Fantasma,"Побеждено
Привидение ","Hayaleti
yendi",,2,560,52
2318,legend_hero_result01_b_n_u,"Defeated
Blue Ghost",Fantôme bleu vaincu,"Der Blaugeist
wurde besiegt.","Fantasma azul
derrotado","Ha sconfitto
il fantasma blu.",Blauw spook verslagen.,Derrotou o Fantasma Azul,"Побеждено
Синее привидение","Mavi Hayaleti
yendi",,2,594,60
2319,legend_hero_result01_r_n_u,"Defeated
Blood Ghost",Fantôme sanguinaire vaincu,"Der Rotgeist
wurde besiegt.","Fantasma rojo
derrotado","Ha sconfitto
il fantasma rosso.",Rood spook verslagen.,Derrotou o Fantasma Sangrento,"Побеждено
Кровавое привидение","Kan Hayaletini
yendi",,2,732,64
2320,legend_hero_result01_a_n_u,"Defeated
Armoured Ghost",Fantôme en armure vaincu,"Der Rüstgeist
wurde besiegt.","Fantasma acorazado
derrotado","Ha sconfitto
il fantasma corazzato.","Gepantserd spook
verslagen.",Derrotou o Fantasma Blindado,"Побеждено
Вооруженное привидение","Zırhlı Hayaleti
yendi",,2,696,72
2321,legend_hero_result01_d_n_u,"Defeated
Armoured Demon",Démon en armure vaincu,"Der Rüstdämon
wurde besiegt!","Demonio acorazado
derrotado","Ha sconfitto
il demone corazzato.","Gepantserde demon
verslagen.",Derrotou o Demónio Blindado,"Побежден
Вооруженный демон","Zırhlı İblisi
yendi",,2,678,68
2322,legend_hero_result01_s_n_u,"Defeated
Armoured Fiend",Génie en armure vaincu,"Das Rüstmonster
wurde besiegt.","Monstruo acorazado
derrotado","Ha sconfitto
il mostro corazzato.","Gepantserde aartsvijand
verslagen.",Derrotou o Monstro Blindado,"Побежден
Вооруженный злодей","Zırhlı Şeytanı
yendi",,2,664,70
2323,legend_hero_result01_l_n_u,"Defeated
Ultimate Ghost",Fantôme suprême vaincu,"Der Obergeist
wurde besiegt.","Fantasma Supremo
derrotado","Ha sconfitto
il fantasma supremo.",Eindspook verslagen.,Derrotou o Fantasma Supremo,"Побеждено
Последнее привидение","Nihai Hayaleti
yendi",,2,700,68
2324,legend_hero_result01_n_u,"Defeated
[[TAG:1:2:]]",[[TAG:1:2:]] vaincu,"[[TAG:1:2:]]
besiegt","Derrotó al
[[TAG:1:2:]].","Ha sconfitto
il [[TAG:1:2:]].
","[[TAG:1:2:]]
verslagen.","Derrotou
[[TAG:1:2:]]","Побеждено:
[[TAG:1:2:]]","[[TAG:1:2:]]
yenildi",,3,281,46
2325,legend_hero_result_bright_u,"Darkened the
dazzling room","Pièce aveuglante
assombrie","Der blendende Raum
wurde verdunkelt.","Oscureció la sala
deslumbrante.","Ha oscurato
la sala abbagliante.","De verblindende
ruimte verduisterd.","Escureceu a
sala estonteante.","Затемнено ослепитель-
ное помещение.","Göz kamaştıran odayı
kararttı",,2,555,74
2326,legend_hero_result_barrier_fire_u,"Cooled the
fiery room",Pièce enflammée refroidie,"Der Feuerraum
wurde abgekühlt.",Enfrió la sala de fuego.,"Ha estinto il fuoco
della sala infuocata.","De brandende
ruimte geblust.","Arrefeceu a
sala de fogo.","Охлаждено
огненное помещение.","Alevli odayı
soğuttu",,2,586,84
2327,legend_hero_result_barrier_ice_u,"Warmed up the
icy room",Pièce glacée réchauffée,"Der Eisraum wurde
erwärmt.",Calentó la sala de hielo.,"Ha riscaldato
la sala ghiacciata.","De bevroren ruimte
laten smelten.","Aqueceu a
sala gelada.","Нагрето
ледяное помещение.","Buzlu odayı
ısıttı",,2,547,68
2328,legend_hero_result_barrier_poison_u,"Neutralised the
poison room","Pièce empoisonnée
assainie","Der Giftraum wurde
gesäubert.","Neutralizó la sala
venenosa.","Ha neutralizzato
la sala velenosa.","De giftige ruimte
onschadelijk gemaakt.","Neutralizou a
sala venenosa.","Нейтрализовано
ядовитое помещение.","Zehirli odayı etkisiz
hâle getirdi",,2,505,80
2329,new_up,,,,,,,,,,,1,0,2
2330,msg_piece_get_number_u,,,,,,,,,,,1,0,2
2331,msg_piece_get2_u,New piece!,"Nouvelle pièce
de puzzle !",Neues Puzzleteil!,¡Nuevo cromo!,Nuovo pezzo!,Nieuw stukje!,Nova peça!,Новый элемент!,Yeni parça!,,2,390,54
2332,msg_panel_get2_u,New panel!,Nouveau puzzle !,Neues Puzzle!,¡Nuevo panel!,Nuovo puzzle!,Nieuwe puzzel!,Novo painel!,Новый пазл!,Yeni panel!,,1,395,34
2333,msg_panel_comp2_u,Panel complete!,Puzzle terminé !,Puzzle vollständig!,¡Panel completo!,Puzzle completo!,Puzzel voltooid!,Painel concluído!,Пазл собран!,Panel tamamlandı!,,1,424,40
2334,dlg_p_g_02_u,,,,,,,,,,,1,0,2
2335,msg_legend2_ghost_shield_intro_yellow_u,"The [[TAG:1:2:]] is protected
by a yellow shield!","Le [[TAG:1:2:]] est
protégé par un bouclier jaune !","[[TAG:1:2:]] wird von
einem gelben Schild geschützt!","¡El [[TAG:1:2:]] se
protege con un escudo amarillo!","Il [[TAG:1:2:]] si
difende con uno scudo giallo!","[[TAG:1:2:]] wordt beschermd
door een geel schild!","Um escudo amarelo
protege [[TAG:1:2:]]!","[[TAG:1:2:]] защищается
желтым щитом!","[[TAG:1:2:]] sarı bir
kalkanla korunuyor!",,2,740,90
2336,msg_legend2_ghost_shield_intro_skyblue_u,"The [[TAG:1:2:]] is protected
by a light-blue shield!","Le [[TAG:1:2:]] est
protégé par un bouclier azur !","[[TAG:1:2:]] wird von
einem hellblauen Schild geschützt!","¡El [[TAG:1:2:]] se
protege con un escudo celeste!","Il [[TAG:1:2:]] si
difende con uno scudo azzurro!","[[TAG:1:2:]] wordt beschermd
door een lichtblauw schild!","Um escudo azul-claro
protege [[TAG:1:2:]]!","[[TAG:1:2:]] защищается
светло-синим щитом!","[[TAG:1:2:]] açık mavi bir
kalkanla korunuyor!",,2,793,98
2337,msg_legend2_ghost_shield_intro_wandb_u,"The [[TAG:1:2:]] is protected
by a shadowlight shield!","Le [[TAG:1:2:]] est protégé
par un bouclier clair-obscur !","[[TAG:1:2:]] wird von
einem Schattenlichtschild geschützt!","¡El [[TAG:1:2:]] se protege
con un escudo sombra y luz!","Il [[TAG:1:2:]] è sotto la protezione
dello scudo chiaroscuro!","[[TAG:1:2:]] wordt beschermd
door het schild van dag en nacht!","Um escudo das luzes sombrias
protege [[TAG:1:2:]]!","[[TAG:1:2:]] защищается
щитом света и тени!","[[TAG:1:2:]] gölge-ışık
kalkanıyla korunuyor!",,2,833,110
2338,msg_legend2_ghost_shield_intro_hat_u,,,,,,,,,,,1,0,2
2339,plaza_total_number_u,[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],,1,0,10
2340,plaza_total_unit_u,,,,,,,,,,,1,0,2
2341,plaza_total_unit_3000over_u,Over,Plus de,Über,Más de,Oltre,Meer dan,Mais de,Более,Üzeri,,1,215,18
2342,msg_legend2_hero_shield_escape_u,"[[TAG:1:2:]] gives up
and goes home.","[[TAG:1:2:]] abandonne
et rebrousse chemin.","[[TAG:1:2:]] hat
aufgegeben und kehrt heim.","[[TAG:1:2:]] se rinde
y vuelve a casa.","L'eroe [[TAG:1:2:]]
rinuncia e torna a casa.","[[TAG:1:2:]] heeft het opgegeven
en is naar huis gegaan.","[[TAG:1:2:]] desistiu
e regressou a casa.","[[TAG:1:2:]] упал духом
и пошел домой.","[[TAG:1:2:]] pes edip
eve dönüyor.",,2,642,98
2343,msg_legend2_wander_hero_shield_escape_u,"The wanderer gives up
and goes home.","Le héros solitaire abandonne
et rebrousse chemin.","Der Hilfsheld hat aufgegeben
und kehrt heim.","El héroe errante se rinde
y vuelve a casa.","Il paladino ha rinunciato
e sta tornando a casa.","De avonturier heeft het opgegeven
en is naar huis gegaan.","O viajante desistiu
e regressou a casa.",Рыцарь упал духом и пошел домой.,"Gezgin pes edip
eve dönüyor.",,2,833,116
2344,dlg_legend2_ed1_01_u,"Thank you for playing all the
way to the end!",Merci d'avoir joué jusqu'au bout !,"Vielen Dank, dass du für mich bis
zum Ende durchgehalten hast!
",¡Gracias por llegar hasta el final!,"Grazie per aver giocato a questa
avventura fino alla fine!","Je hebt het volgehouden tot aan
het eind. Mijn dank is groot!",Obrigado por jogar até ao fim!,Благодарим за завершение игры!,"Sonuna kadar oynadığın için
çok teşekkürler!",,3,780,128
2345,msg_legend2_hero_shield_escape01_u,"[[TAG:1:2:]]'s team gives up
and goes home.","L'union abandonne
et rebrousse chemin.","Das Duo von [[TAG:1:2:]] hat
aufgegeben und kehrt heim.","El equipo de [[TAG:1:2:]]
se rinde y vuelve a casa.","La squadra di [[TAG:1:2:]] ha 
rinunciato ed è tornata a casa.","De groep van [[TAG:1:2:]]
geeft het op en keert huiswaarts.","A equipa de [[TAG:1:2:]]
desistiu e foi para casa.","Команда героя [[TAG:1:2:]]
упала духом и пошла домой.","[[TAG:1:2:]]’in takımı pes edip
eve dönüyor.",,2,750,110
2346,msg_legend2_hero_shield_escape01_f_u,"[[TAG:1:2:]]'s team gives up
and goes home.","L'union abandonne
et rebrousse chemin.","Das Duo von [[TAG:1:2:]] hat
aufgegeben und kehrt heim.","El equipo de [[TAG:1:2:]]
se rinde y vuelve a casa.","La squadra di [[TAG:1:2:]] ha 
rinunciato ed è tornata a casa.","De groep van [[TAG:1:2:]]
geeft het op en keert huiswaarts.","A equipa de [[TAG:1:2:]]
desistiu e foi para casa.","Команда героини [[TAG:1:2:]]
упала духом и пошла домой.","[[TAG:1:2:]]’in takımı pes edip
eve dönüyor.",,2,750,110
2347,msg_legend2_wander_hero_shield_escape01_u,"The wanderer's team gives up
and goes home.","L'union des héros solitaires
abandonne et rebrousse chemin.","Das Hilfsheldenduo hat
aufgegeben und kehrt heim.","El equipo del héroe errante
se rinde y vuelve a casa.","La squadra dei paladini ha
rinunciato ed è tornata a casa.","De groep van de avonturier geeft
het op en keert huiswaarts.","A equipa do viajante
desistiu e foi para casa.","Команда рыцаря
упала духом и пошла домой.","Gezginin takımı pes edip
eve dönüyor.",,2,753,122
2348,dlg_legend2_ed1_02_u,"This crown is a gift from
yours truly.","Cette couronne est
votre récompense.","Diese Krone ist eine dir würdige
Anerkennung, so nimm sie denn.","Esta corona real es una muestra
de mi agradecimiento eterno.",Ora questa corona è tua.,"Laat me je belonen
met deze kroon.",Esta coroa é o meu presente.,Эта корона — мой подарок.,"Bu tacı bizzat ben
sana hediye ediyorum.",,2,750,128
2349,dlg_legend2_ed1_03_u,"But don't think your adventures
end here! Have you overlooked
a hat somewhere?","Mais l'aventure est-elle vraiment
terminée ? Avez-vous réussi à
trouver tous les couvre-chefs ?","Nur denke ja nicht, dass dein
Abenteuer damit bereits vorüber
ist! Hast du wirklich schon alle
Kopfbedeckungen entdeckt?","¡Pero no creas que tus aventuras
acaban aquí! ¡Hay más sombreros!","Ma l'avventura non finisce qui!
Ti manca ancora qualche
copricapo?","Maar dat betekent nog niet dat je
avontuur voorbij is! Of heb je
alle hoofddeksels al gevonden?","Mas as suas aventuras não acabam
aqui! Esqueceu-se de algum
chapéu?","Но не думай, что твои
приключения закончены!
Действительно ли найдены
все головные уборы?","Ama maceraların burada bitti sanma!
Bir yerlerde gözünden kaçan
bir şapka olabilir mi?",,4,810,242
2350,dlg_legend2_ed1_04_u,Why not try starting over again?,"Pourquoi ne pas recommencer
votre quête depuis le début ?","Warum fängst du also nicht
noch einmal von vorne an?",¿Por qué no empiezas de nuevo?,Perché non ricominci dall'inizio?,Waarom begin je niet opnieuw?,Porque não começar do início?,"Почему бы тебе не начать
игру сначала?","En baştan bir kez daha
başlamaya ne dersin?",,2,767,116
2351,dlg_legend2_ed2_01_u,"Thank you so much for saving
me again!","Merci d'avoir sauvé votre
bien-aimé monarque
une nouvelle fois !","Vielen Dank dafür, dass du
mich erneut gerettet hast!","¡Muchísimas gracias por
rescatarme de nuevo!","Grazie mille! Mi hai salvato
di nuovo la pelle!","Nogmaals bedankt dat
je me hebt bevrijd!","Muito obrigado por me salvar de
novo!","Большое спасибо за то, что тебе
опять удалось меня спасти!","Beni yine kurtardığın için
çok teşekkürler!",,3,770,130
2352,dlg_legend2_ed2_02_u,"I sort of just found this lying
around, but here - take this
[[TAG:1:2:]].","Ce n'est pas grand-chose
au regard de votre bravoure...
Mais tenez ! Acceptez ce présent :
[[TAG:1:2:]].","Es ist vielleicht nicht mehr
taufrisch, aber ich habe
folgendes Geschenk für dich:
[[TAG:1:2:]].","Este es tu regalo:
¡[[TAG:1:2:]]!
¡Espero que le des un buen uso!","Non sarà un granché, 
ma accetta questo regalo:
[[TAG:1:2:]].","Dit slingerde nog ergens rond:
[[TAG:1:2:]].","Não é grande coisa, mas
aceite este presente:
[[TAG:1:2:]]","Дареное, конечно, не дарят, но
вот тебе от меня подарок:
[[TAG:1:2:]].","Bunu öylece bir yerde buldum ama...
Neyse, al bakalım:
[[TAG:1:2:]].",,4,790,194
2353,dlg_legend2_ed2_03_u,"Congratulations!
You've collected all the original
StreetPass Quest hats!","Félicitations, vous avez obtenu
tous les couvre-chefs de Mii
en péril !","Glückwunsch!
Du hast alle „Rette die Krone!“-
Kopfbedeckungen gesammelt!","¡Enhorabuena!
¡Has reunido todos los sombreros
originales de Rescate Mii!","Congratulazioni!
Hai collezionato tutti i copricapi
originali di Libera Mii!","Gefeliciteerd!
Je hebt alle originele hoofddeksels
uit Mii in misère gevonden!","Parabéns!
Reuniu todos os chapéus
do primeiro O Resgate Mii!","Поздравляем!
Тебе удалось собрать все
головные уборы игры Спаси Mii!","Tebrikler!
Mii’yi Kurtar!’daki tüm orijinal
şapkaları topladın!",,3,785,158
2354,dlg_legend2_ed2_04_u,"StreetPass Quest II has been
unlocked! Head back to the game
selection screen to check it out.","Vous pouvez maintenant
jouer à Mii en péril II !
Retournez à l'écran de sélection
du jeu pour continuer l'aventure !","„Rette die Krone II“ wurde
freigeschaltet! Du kannst es
in der Spielauswahl auswählen!","¡Has desbloqueado Rescate Mii II!
Vuelve a la pantalla de selección
de juego y echa un vistazo.","Hai sbloccato Libera Mii II!
Per giocarci, torna allo schermo
di selezione gioco.","Mii in misère II is nu beschikbaar!
Ga terug naar het spelkeuzescherm
en neem een kijkje!","O Resgate Mii II foi desbloqueado!
Regresse ao ecrã de seleção
de jogo para dar uma olhadela.","Разблокирована игра Спаси Mii II!
Перейди на экран выбора игры,
чтобы начать ее.","Mii’yi Kurtar! II açıldı!
Oynamak için oyun seçme
ekranına geri dön.",,4,806,234
2355,dlg_legend2_ed3_01_u,This hat is a gift from me.,"Ce couvre-chef est un cadeau
de ma part.","Dieser Hut ist ein
Geschenk von mir.",El sombrero es mi regalo para ti.,"Questo copricapo
è un regalo da parte mia.","Dit hoofddeksel is een cadeautje.
Van mij, voor jou!",Este chapéu é um presente meu.,"Этот головной убор — мой
подарок.",Bu şapka benden sana hediye.,,2,758,106
2356,dlg_legend2_ed3_02_u,Oh? A new path has appeared!,"Tiens ? Un nouveau chemin est
apparu !","Huch! Ein neuer Weg ist
aufgetaucht!","¿Eh? ¡Se ha abierto
un nuevo camino!",Oh! È apparso un nuovo percorso!,Er is een nieuw pad verschenen!,Hã? Apareceu um novo caminho!,Смотри! Появился новый путь!,Aa? Yeni bir yol açıldı!,,2,792,78
2357,dlg_legend2_ed3_03_u,"Perhaps there is a hat or a place
somewhere in this world that
you've overlooked.","Il semblerait qu'il vous reste
encore des endroits à explorer
ou des couvre-chefs à débusquer.","Möglicherweise gibt es
noch unerkundete Orte oder
Kopfbedeckungen in dieser Welt.","Quizás haya algún lugar o algún
sombrero en este mundo que
se te haya pasado por alto.","Magari c'è ancora qualche luogo
o copricapo nascosto che ti è
sfuggito in questo mondo!","Volgens mij zijn er nog nieuwe
hoofddeksels of gebieden te
ontdekken.","Parece que ainda há lugares por
descobrir ou chapéus escondidos
neste mundo.","Может быть, в этом мире есть
тайные места или спрятанные
головные уборы, которые еще
не были найдены.","Belki bu dünyada gözünden kaçan
bir şapka ya da keşfetmediğin
bir yer hâlâ vardır.",,4,781,204
2358,dlg_legend2_ed3_04_u,Why not start your quest anew?,"Que diriez-vous de recommencer
votre quête depuis le départ ?","Warum fängst du also nicht
noch einmal von vorne an?","¿Qué tal si comienzas
de nuevo tu aventura?","Perché non ricominci
l'avventura da capo?","Probeer je avontuur eens
opnieuw te beginnen.","Porque não começa
novamente o resgate?","Почему бы не пройти игру
еще раз?","Maceraya baştan
başlamaya ne dersin?",,2,752,124
2359,dlg_legend2_ed3_05_u,"The world is always
open to heroes!","Ce monde a perpétuellement
besoin de héros, vous savez !","Die Welt freut sich über
jeden Helden!","¡El mundo siempre está
abierto a los héroes!","Le porte del mondo sono
sempre aperte agli eroi!","Er is altijd plaats voor helden
in deze wereld.","O mundo está sempre à
disposição dos heróis!",Миру всегда нужны герои!,"Dünya kahramanlara
her zaman açık!",,2,679,114
2360,dlg_legend2_ed3_06_u,"It looks like you've gathered
all the hats in the world!","Il semblerait que vous ayez
récupéré tous les couvre-chefs !","Sieht so aus, als hättest du
alle Kopfbedeckungen dieser
Welt gesammelt.","¡Parece que has reunido todos
los sombreros del mundo!","A quanto pare hai raccolto tutti
i copricapi di questo mondo!","Volgens mij heb je alle hoofd-
deksels in de wereld gevonden!","Parece que reuniu todos
os chapéus do mundo!","Похоже, тебе удалось собрать
все головные уборы этого мира.","Dünyadaki bütün şapkaları
toplamış gibisin!",,3,762,146
2361,dlg_legend2_ed3_07_u,"Well done! Please come back
whenever you like.","Bien joué ! N'hésitez pas à revenir
vous amuser si le cœur vous en
dit !","Gut gemacht! Du kannst gerne
jederzeit wieder vorbeischauen.","¡Bien hecho! Juega de nuevo
cuando quieras.","Ottimo lavoro!
Torna pure quando vuoi!","Goed werk! Je bent altijd welkom
als je weer eens langs wilt komen!","Muito bem!
Volte sempre que desejar.","Молодец! Возвращайся
в любое время!","Aferin! Ne zaman istersen
yine gel.",,3,784,146
2362,newly_arrived_person_u,Personal,Personnelle,Persönlich,Personal,Personale,Persoonlijk,Pessoal,Личное,Kişisel,,1,265,24
2363,newly_arrived_skip_u,[[CHR:E005]] Fast-forward,[[CHR:E005]] Avance rapide,[[CHR:E005]] Vorspulen,[[CHR:E005]] Más rápido,[[CHR:E005]] Avanti veloce,[[CHR:E005]] Doorspoelen,[[CHR:E005]] Avanço Rápido,[[CHR:E005]] Прокрутить,[[CHR:E005]] Hızlı ileri,,1,408,32
2364,msg_legend2_hint_cmn_13_01_u,Yikes!,Oh oh...,Auweia!,¡Uaaah!,Aaaaaaaah!,Ai!,Bolas!,Ой!,Eyvah!,,1,268,22
2365,msg_legend2_hint_cmn_13_02_u,"One of those tin cans is looking
right this way...","Un fantôme en armure
regarde par ici...","Diese Blechbüchse schaut
genau in meine Richtung...","Ese horrible monstruo está
mirando hacia aquí...","Uno di quei cosi di latta sta
guardando da questa parte...","Dat blikken geval
kijkt deze kant op...","Aquele monte de lata está a olhar
na sua direção...","Эта жестяная банка смотрит
в мою сторону...","Şu teneke kutulardan biri
bu tarafa bakıyor...",,2,767,118
2366,msg_legend2_hint_cmn_13_03_u,...Eep.,"...
Gloups !","...
Iiiiiip!",¡Qué miedo!,"...
Urgh.","...
Iiieeek!","...
Ups.","...
Гм.",...Ayy.,,2,281,26
2367,msg_legend2_hint_cmn_14_01_u,"An armour-clad ghost, eh?",Un fantôme en armure ?,Ein ganz besonderer Geist also?,Así que un monstruo acorazado...,"Un fantasma corazzato, eh?",Een gepantserd spook?,"Com que então um fantasma 
blindado?","Вооруженное привидение, да?","Zırhlı hayalet, ha?",,2,773,74
2368,msg_legend2_hint_cmn_14_02_u,"A level 1 hero won't even make
a dent in that armour...","Un héros niveau 1 n'aura aucune
chance d'entamer une telle armure.","Ein Held der Stufe 1 kann bei einer
solchen Rüstung nichts ausrichten...","Un héroe de nivel 1 no es capaz
de hacerle ni cosquillas.","Un eroe di livello 1 non può fare
neanche un graffio a quell'armatura.","Een held met level 1 heeft geen
schijn van kans tegen zo'n pantser.","Os heróis de nível 1 nem devem
conseguir amolgar aquela armadura.","Герой уровня 1 не оставит даже
вмятины на этих доспехах.","Seviye 1 bir kahraman o zırhta
çizik bile oluşturamaz...",,2,835,146
2369,msg_legend2_hint_cmn_15_01_u,"Even the sturdiest armour must
have a weak spot somewhere...","Cela dit, toutes les armures
ont leur point faible...","Selbst die härteste Rüstung besitzt
immer einen Schwachpunkt...","Seguro que hasta la armadura
más dura tiene un punto débil...","Beh, anche le armature devono
avere un punto debole...","Maar zelfs het zwaarste pantser
moet een zwakte hebben...","Bom, até a armadura mais forte 
há-de ter algum ponto fraco...","Даже у самой лучшей брони всегда
есть слабое место...","En sağlam zırhın bile bir yerde
zayıf noktası olmalı...",,2,832,128
2370,msg_legend2_hint_cmn_15_02_u,"...That's it! Magic!
There's no way to stop magic.",La magie est une arme puissante...,Und Magie kennt keine Grenzen!,"Y ya sabes lo que dicen:
nada detiene a la magia...","Non c'è alcun modo
per fermare le magie.",Niets is opgewassen tegen magie!,Não é possível parar a magia.,"Ничто не может
остановить магию.","...İşte bu! Büyü!
Büyüyü hiçbir şey durduramaz.",,2,799,104
2371,msg_legend2_hint_cmn_15_03_u,"Using magic effectively is the
key to victory, heroes!","Oui, héros !
La magie est la clé de la victoire !","Ein Tipp für alle Helden: Setzt Magie
effizient ein, um siegreich zu sein!","¡Así que ya sabes! ¡La magia
es el camino hacia la victoria!","Effettivamente, usare bene
le magie è la chiave per vincere!","Maak slim gebruik van magie en de
overwinning is aan jullie, helden!","A chave para a vitória é usar magia
de maneira eficaz, heróis!","Герои, эффективное использова-
ние магии — залог успеха!","Büyüyü doğru kullanmak zaferin
anahtarıdır, kahramanlar!",,2,833,150
2372,dlg_choice_real_delete_greeting_u,Really Erase,Effacer,Wirklich löschen,"Seguro, bórralos",Cancella davvero,Echt wissen,Eliminar,Удалить,Gerçekten Sil,,1,387,34
2373,dlg_choice_info_omit01_u,You have chosen to skip greetings.,"Vous avez choisi de passer
la séquence des salutations.","Du hast beschlossen, alle
Begrüßungen auszulassen.",Has decidido omitir los saludos.,Hai deciso di saltare i saluti.,"Je hebt ervoor gekozen om
begroetingen over te slaan.",Escolheu ignorar as saudações.,Приветствия отключены.,Selamlamaları atlamayı seçtin.,,2,799,112
2374,dlg_choice_info_omit02_u,"If you want to change this
later, go to Settings, then
turn Skip Greetings off.","Pour modifier ce choix,
allez dans les paramètres
et désactivez l'option
Passer salutations.","Du kannst dies unter
„Einstellungen“ ändern, indem
du „Begrüßung auslassen“
wieder deaktivierst.","Para cambiar esta opción, vuelve
a ""Configuración"" y selecciona
""No"" en ""Omitir saludos"".","Se vuoi cambiare questa opzione,
vai alle Impostazioni e poi imposta
Salta i saluti su No.","Als je dit later wilt wijzigen, ga je
naar de instellingen en zet je
BEGROETING OVERSLAAN uit.","Se desejar alterar esta definição
mais tarde, desligue Ignorar 
Saudações nas Definições.","Если позже ты захочешь это
изменить, перейди в Настройки,
а затем выбери Нет для
Откл. приветствия.","Bunu daha sonra değiştirmek
istersen Ayarlar’a gidip
Selamlamaları Atla seçeneğini kapat.",,4,780,200
2375,cmn_save_d,Saving... Don't turn off the power.,"Sauvegarde...
N'éteignez pas la console.",Speichern... Nicht ausschalten.,Guardando. No apagues la consola.,"Salvataggio in corso...
Non spegnere la console.","Bezig met opslaan...
Zet het systeem niet uit.",A guardar...Não desligue a consola.,Сохранение... Не выключай систему.,Kaydediliyor... Gücü kapatma.,,2,867,98
2376,choice_ques_sepa_greeting_u,Use personal greeting?,Utiliser salutation perso. ?,Persönlich begrüßen?,¿Usar saludo personal?,"Vuoi usare un
saluto personale?",Persoonlijk begroeten?,"Utilizar saudação
individual?","Использовать
личное приветствие?","Kişisel selamlama
kullanılsın mı?",,2,599,66
2377,choice_sepa_greeting_no_u,No,Non,Nein,No,No,Nee,Não,Нет,Hayır,Kısa UI seçeneği. Doğal Türkçe Evet/Hayır biçimi korundu; CLYT seçim alanında güvenli.,1,103,10
2378,choice_sepa_greeting_yes_u,Yes,Oui,Ja,Sí,Sì,Ja,Sim,Да,Evet,Kısa UI seçeneği. Doğal Türkçe Evet/Hayır biçimi korundu; CLYT seçim alanında güvenli.,1,83,8
2379,choices_legend2_battle_after_u,Next!,Suivant !,Nächster!,¡Siguiente!,Successivo!,Volgende!,Seguinte!,Следующий!,Sıradaki!,,1,288,24
2380,msg_legend2_after_info_red_u,"Next!
Go to the back of the queue.","Suivant ! Retour
à l'arrière de la file.","Nächster!
Der Held stellt sich hinten an.","Cede su lugar al siguiente héroe
y pasa al final de la formación.","Successivo!
L'eroe va in fondo alla coda.","Volgende!
Ga achter in de rij staan.","Seguinte!
Vai para o fim da fila.","Следующий!
Вернись в конец очереди.","Sıradaki!
Kuyruğun sonuna geç.",,2,738,132
2381,msg_legend2_hero_after_ac_u,"[[TAG:1:2:]] returns
to the queue.","[[TAG:1:2:]]
retourne dans la file.","[[TAG:1:2:]] hat
sich wieder hinten angestellt.","[[TAG:1:2:]] pasa al
final de la formación.","[[TAG:1:2:]] è ritornato
in coda.","[[TAG:1:2:]] heeft zich weer
aangesloten in de rij.",[[TAG:1:2:]] regressou à fila.,"[[TAG:1:2:]]
вернулся в очередь.","[[TAG:1:2:]] yeniden
kuyruğa dönüyor.",,2,664,88
